ID,adj.P.Val,P.Value,B,Gene.symbol,AveExpr,logFC
10440099,0.001654722,1.66615E-06,5.940270851,St3gal6,9.49682987,2.451589987
10373530,0.014911724,0.000302412,0.85924177,Cdk2,9.332615553,2.427770209
10518356,0.012678621,0.000217754,1.211967745,Gm8580///Gm10548///Gm13213///4931440P22Rik///Rpl29,7.466986592,2.426250172
10340683,0.011080913,0.00015716,1.55977062,,7.920298458,2.405541998
10341472,0.002404963,6.1577E-06,4.801804197,,6.366757729,2.374192561
10347186,0.008350768,8.91293E-05,2.15789914,,6.075712624,2.325256951
10344064,0.004859353,2.52843E-05,3.446741362,,6.806071366,2.324586773
10341765,0.010513295,0.000139431,1.686755833,,7.946387285,2.324485264
10343652,0.015320041,0.00031645,0.810336869,,4.563830584,2.308180896
10338656,0.019148307,0.000517403,0.278057513,,8.551173469,2.282768315
10340600,0.010513295,0.000139274,1.687951182,,11.4438297,2.240255354
10342796,0.006053378,4.17789E-05,2.940540545,,9.577840678,2.227716097
10513061,0.009356536,0.000113323,1.905782845,Ctnnal1,8.216000849,2.174344825
10570513,0.011328263,0.000167186,1.494013357,Kbtbd11,8.280309034,2.126181983
10341738,0.008024191,7.93936E-05,2.278684314,,4.342226673,2.110785201
10500283,0.007543073,6.41888E-05,2.499501773,Car14,6.729966344,2.040991665
10412466,0.018350457,0.000471959,0.377885197,Hmgcs1,9.575431691,2.030012364
10341032,0.007597207,6.64428E-05,2.463760122,,7.728701612,2.005878584
10342513,0.004619304,2.31231E-05,3.53561292,,9.34994614,2.004451375
10338250,0.015861825,0.000339236,0.735315789,,7.667568479,1.98897653
10338494,0.008077741,8.39315E-05,2.22069735,,8.993511931,1.985873718
10351131,0.018248265,0.000465718,0.392330673,Myoc,5.203705976,1.979628506
10349404,0.011158056,0.000160064,1.540311844,Mgat5,9.323482449,1.973146385
10420785,0.009452195,0.000115297,1.887582834,Mtmr9,9.48220958,1.874938751
10341920,0.019936741,0.00056094,0.190221799,,2.771811579,1.874769749
10340427,0.003443573,1.20548E-05,4.171332363,,8.627834952,1.861313015
10450212,0.016243226,0.000357705,0.67806036,Egfl8,8.702232618,1.828669227
10507477,0.017645304,0.000429965,0.478947205,,3.801906022,1.820720719
10340507,0.015941597,0.000344577,0.718449669,,9.312626417,1.818759557
10461642,0.019125469,0.000506732,0.300698739,Scarna17,10.04173805,1.817271186
10563112,0.011633459,0.000183092,1.397208625,Snord33,6.209100241,1.798241356
10344366,0.014001285,0.000263398,1.007865434,,6.707001909,1.786151786
10339509,0.01537893,0.000319082,0.801405242,,9.189003012,1.777335218
10572146,0.014511525,0.000282889,0.931097559,Atp6v1b2,10.29148377,1.77071819
10399696,0.011080913,0.000157086,1.560272033,Rnf144a,9.018904839,1.758974619
10361771,0.003664814,1.44934E-05,3.993795813,Plagl1,8.908142231,1.747732122
10561343,0.007543073,6.4278E-05,2.498065184,Gm10651///Josd1,9.343815612,1.741908855
10372145,0.004846641,2.49583E-05,3.45967477,Alx1,8.035289811,1.741676685
10478744,0.014861358,0.000298852,0.871999718,,6.653778459,1.735194994
10483074,0.007366128,6.01836E-05,2.566112674,Gcg,5.757016355,1.724631434
10582890,0.004248852,1.98019E-05,3.688919341,,3.760113747,1.716788586
10341818,0.005504978,3.42082E-05,3.143370729,,6.44880807,1.694330095
10593318,0.01262057,0.000214942,1.225881006,,4.950865148,1.667537066
10343201,0.011530102,0.00017958,1.417852873,,9.070323463,1.658123372
10553354,0.008024191,8.03285E-05,2.266479484,Nav2,8.254087598,1.622038585
10608327,0.01590807,0.000341597,0.727827909,Gm20917///Gm20877///Gm20865///Gm20854///Gm20852///Gm20822///Gm20815///Gm20809///Gm20806///Gm20747///Gm21943///Gm20738///Ssty2,4.31453561,1.619468752
10338991,0.012380019,0.000204322,1.280075104,,5.299408848,1.619459125
10500685,0.004859353,2.53033E-05,3.445993143,Atp1a1,11.48541095,1.608609905
10578572,0.012249037,0.000199452,1.305855368,Stox2,10.00914249,1.605255173
10341812,0.008049034,8.11654E-05,2.255670608,,8.538114504,1.603816521
10532267,0.016585056,0.000382635,0.605218889,Vmn2r9,5.952840132,1.590584442
10605113,0.017844045,0.000438601,0.45739172,L1cam,6.932646062,1.572164337
10342898,0.003894627,1.61342E-05,3.889596314,,6.737919573,1.566963583
10338163,0.009331345,0.000112212,1.916155045,,11.7999748,1.55005779
10341766,0.011295432,0.000165727,1.5033416,,6.290685854,1.548046065
10341847,0.007536974,6.3142E-05,2.516514456,,9.325290813,1.538052946
10344564,0.01888847,0.000494491,0.32725849,,6.499161534,1.521179969
10340053,0.010809408,0.000149673,1.611600201,,6.3193852,1.518715474
10506031,0.014266663,0.000274301,0.964263595,Nfia,8.704589956,1.505836896
10342048,0.007026392,5.49821E-05,2.659309074,,8.107589349,1.497108459
10339221,0.019148307,0.000509978,0.293763173,,12.351253,1.492511726
10338383,0.018405691,0.000476547,0.36738785,,8.476982919,1.481321436
10414706,0.010636787,0.000142679,1.662360482,,7.506504737,1.465375692
10456291,0.016421305,0.000374629,0.628089659,Mir122,5.982161571,1.461708479
10339229,0.007543073,6.46375E-05,2.492291756,,6.307291453,1.45365759
10578681,0.006514589,4.85408E-05,2.787277293,,10.86938207,1.447152371
10342397,0.009356536,0.000113294,1.906054173,,11.53975608,1.446375413
10405751,0.017733287,0.000433331,0.470495317,Mir713///6720490N10Rik,4.836987516,1.442647052
10571362,0.011140196,0.000158963,1.547653856,AI429214,6.208875796,1.361425011
